TRUCK_ID,MENU_TYPE_ID,PRIMARY_CITY,REGION,ISO_REGION,COUNTRY,ISO_COUNTRY_CODE,FRANCHISE_FLAG,YEAR,MAKE,MODEL,EV_FLAG,FRANCHISE_ID,TRUCK_OPENING_DATE
2,2,San Mateo,California,CA,United States,US,0,2015,Ford_,Step Van,0,1,2015-07-01
3,3,San Mateo,California,CA,United States,US,1,2004,Freightliner,MT45 Utilimaster,0,2,2015-11-01
4,4,San Mateo,California,CA,United States,US,1,1997,Chevrolet,P30,1,3,2019-02-01
5,5,San Mateo,California,CA,United States,US,1,2010,Custom,Van,1,4,2020-04-01
6,6,San Mateo,California,CA,United States,US,1,2010,Airstream,Trailer,0,5,2015-07-01
7,7,San Mateo,California,CA,United States,US,1,2010,Custom,Van,0,6,2019-02-01
8,8,San Mateo,California,CA,United States,US,1,1999,Chevrolet,P30,1,7,2023-03-01
9,9,San Mateo,California,CA,United States,US,1,2008,Custom,Box Truck,0,8,2015-07-01
10,10,San Mateo,California,CA,United States,US,1,2009,Ford_,Step Van,0,9,2016-01-01
12,12,San Mateo,California,CA,United States,US,1,2010,Custom,Van,0,11,2015-06-01
13,13,San Mateo,California,CA,United States,US,1,2000,Freightliner,MT45 Utilimaster,0,12,2015-07-01
14,14,San Mateo,California,CA,United States,US,1,2004,Freightliner,MT45 Utilimaster,0,12,2015-10-01
15,15,San Mateo,California,CA,United States,US,1,2010,Airstream,Trailer,0,13,2015-02-01
16,1,Denver,Colorado,CO,United States,US,1,1974,Volkswagen,Westfalia Bus,1,14,2023-01-01
17,2,Denver,Colorado,CO,United States,US,0,2015,Ford_,Step Van,0,1,2015-04-01
19,4,Denver,Colorado,CO,United States,US,1,2018,Nissan,NV 2500 High Roof,0,16,2015-07-01
20,5,Denver,Colorado,CO,United States,US,1,2012,Custom,Box Truck,0,17,2015-07-01
21,6,Denver,Colorado,CO,United States,US,0,2015,Ford_,Step Van,0,1,2015-04-01
22,7,Denver,Colorado,CO,United States,US,1,2013,Ford_,Step Van,1,18,2018-01-01
23,8,Denver,Colorado,CO,United States,US,1,2010,Custom,Van,0,19,2023-01-01
24,9,Denver,Colorado,CO,United States,US,1,2000,Freightliner,MT45 Utilimaster,0,20,2022-01-01
25,10,Denver,Colorado,CO,United States,US,1,2013,Ford_,Step Van,0,21,2015-07-01
26,11,Denver,Colorado,CO,United States,US,1,2010,Custom,Van,0,22,2015-06-01
27,12,Denver,Colorado,CO,United States,US,1,2000,Freightliner,MT45 Utilimaster,0,23,2015-07-01
28,13,Denver,Colorado,CO,United States,US,1,2009,Freightliner,MT45 Utilimaster,0,23,2015-02-01
29,14,Denver,Colorado,CO,United States,US,1,1999,Chevrolet,P30,0,24,2015-10-01
30,15,Denver,Colorado,CO,United States,US,1,1997,Chevrolet,P30,0,25,2023-06-01
31,1,Seattle,Washington,WA,United States,US,1,2010,Custom,Van,0,26,2023-01-01
32,2,Seattle,Washington,WA,United States,US,1,2009,Freightliner,MT45 Utilimaster,1,27,2015-07-01
33,3,Seattle,Washington,WA,United States,US,0,2013,Ford_,Step Van,0,1,2015-10-01
34,4,Seattle,Washington,WA,United States,US,1,1999,Chevrolet,P30,0,28,2016-01-01
35,5,Seattle,Washington,WA,United States,US,1,1997,Chevrolet,P30,0,28,2018-01-01
36,6,Seattle,Washington,WA,United States,US,1,2014,Ford_,Step Van,0,29,2020-06-01
37,7,Seattle,Washington,WA,United States,US,1,2010,Ford_,Step Van,0,30,2015-07-01
38,8,Seattle,Washington,WA,United States,US,1,2012,Custom,Box Truck,1,31,2023-02-01
39,9,Seattle,Washington,WA,United States,US,1,2010,Ford_,Step Van,0,32,2015-07-01
40,10,Seattle,Washington,WA,United States,US,1,2012,Custom,Box Truck,1,33,2015-02-01
41,11,Seattle,Washington,WA,United States,US,1,1997,Custom,Box Truck,0,34,2021-06-01
42,12,Seattle,Washington,WA,United States,US,1,2000,Freightliner,MT45 Utilimaster,0,35,2015-10-01
43,13,Seattle,Washington,WA,United States,US,1,2014,Ford_,Step Van,0,36,2015-07-01
44,14,Seattle,Washington,WA,United States,US,1,2010,Ford_,Step Van,0,37,2016-06-01
45,15,Seattle,Washington,WA,United States,US,1,2001,Freightliner,MT45 Utilimaster,0,38,2015-04-01
46,1,Boston,Massachusetts,MA,United States,US,1,2014,Ford_,Step Van,0,36,2015-02-01
47,2,Boston,Massachusetts,MA,United States,US,1,2010,Ford_,Step Van,0,37,2015-07-01
48,3,Boston,Massachusetts,MA,United States,US,1,2007,Custom,Van,0,39,2015-07-01
49,4,Boston,Massachusetts,MA,United States,US,0,2013,Ford_,Step Van,1,1,2015-06-01
50,5,Boston,Massachusetts,MA,United States,US,1,1974,Volkswagen,Westfalia Bus,0,40,2015-07-01
52,7,Boston,Massachusetts,MA,United States,US,1,2015,Ford_,Step Van,0,42,2015-07-01
53,8,Boston,Massachusetts,MA,United States,US,1,2013,Ford_,Step Van,0,43,2016-06-01
54,9,Boston,Massachusetts,MA,United States,US,1,2010,Custom,Van,1,44,2023-03-01
56,11,Boston,Massachusetts,MA,United States,US,1,2015,Ford_,Step Van,1,46,2022-01-01
57,12,Boston,Massachusetts,MA,United States,US,1,2013,Ford_,Step Van,0,46,2015-07-01
58,13,Boston,Massachusetts,MA,United States,US,1,2010,Custom,Van,1,47,2018-03-01
59,14,Boston,Massachusetts,MA,United States,US,1,2000,Freightliner,MT45 Utilimaster,1,48,2023-04-01
60,15,Boston,Massachusetts,MA,United States,US,1,2014,Ford_,Step Van,0,49,2015-10-01
61,1,New York City,New York,NY,United States,US,1,2013,Ford_,Step Van,0,49,2015-02-01
62,2,New York City,New York,NY,United States,US,1,2010,Custom,Van,0,50,2015-07-01
63,3,New York City,New York,NY,United States,US,1,2012,Custom,Box Truck,1,51,2022-04-01
64,4,New York City,New York,NY,United States,US,1,2009,Ford_,Step Van,0,52,2015-02-01
65,5,New York City,New York,NY,United States,US,0,2013,Ford_,Step Van,1,1,2018-03-01
66,6,New York City,New York,NY,United States,US,1,2010,Custom,Van,1,53,2017-04-01
68,8,New York City,New York,NY,United States,US,1,2010,Ford_,Step Van,0,54,2015-06-01
69,9,New York City,New York,NY,United States,US,1,2009,Ford_,Step Van,0,54,2016-02-01
70,10,New York City,New York,NY,United States,US,1,2004,Freightliner,MT45 Utilimaster,0,55,2015-02-01
71,11,New York City,New York,NY,United States,US,1,2013,Ford_,Step Van,0,56,2015-10-01
72,12,New York City,New York,NY,United States,US,1,2010,Custom,Van,1,57,2022-04-01
74,14,New York City,New York,NY,United States,US,1,2007,Freightliner,MT45 Utilimaster,0,59,2015-10-01
75,15,New York City,New York,NY,United States,US,1,2009,Ford_,Step Van,0,60,2015-06-01
76,1,Toronto,Ontario,ON,Canada,CA,1,2010,Custom,Van,0,61,2015-06-01
77,2,Toronto,Ontario,ON,Canada,CA,0,2000,Freightliner,MT45 Utilimaster,1,1,2016-02-01
78,3,Toronto,Ontario,ON,Canada,CA,0,2004,Freightliner,MT45 Utilimaster,1,1,2018-03-01
80,5,Toronto,Ontario,ON,Canada,CA,1,2014,Ford_,Step Van,1,63,2018-03-01
82,7,Toronto,Ontario,ON,Canada,CA,1,2009,Ford_,Step Van,1,63,2022-04-01
83,8,Toronto,Ontario,ON,Canada,CA,1,2004,Freightliner,MT45 Utilimaster,0,64,2017-02-01
84,9,Toronto,Ontario,ON,Canada,CA,0,2000,Freightliner,MT45 Utilimaster,1,1,2017-02-01
85,10,Toronto,Ontario,ON,Canada,CA,1,2010,Custom,Van,0,65,2015-02-01
86,11,Toronto,Ontario,ON,Canada,CA,1,2009,Ford_,Step Van,1,66,2016-04-01
88,13,Toronto,Ontario,ON,Canada,CA,1,2012,Custom,Box Truck,0,67,2015-10-01
90,15,Toronto,Ontario,ON,Canada,CA,1,2009,Ford_,Step Van,0,69,2015-02-01
91,1,Vancouver,British Columbia,BC,Canada,CA,1,2007,Ford_,Step Van,0,70,2015-08-01
92,2,Vancouver,British Columbia,BC,Canada,CA,1,2000,Freightliner,MT45 Utilimaster,0,71,2015-10-01
93,3,Vancouver,British Columbia,BC,Canada,CA,1,2008,Custom,Box Truck,1,72,2018-03-01
95,5,Vancouver,British Columbia,BC,Canada,CA,1,2001,Airstream,Trailer,1,74,2019-04-01
96,6,Vancouver,British Columbia,BC,Canada,CA,1,1999,Chevrolet,P30,1,75,2018-01-01
98,8,Vancouver,British Columbia,BC,Canada,CA,1,2012,Ford_,Step Van,0,76,2017-06-01
99,9,Vancouver,British Columbia,BC,Canada,CA,1,2001,Freightliner,MT45 Utilimaster,0,77,2015-02-01
100,10,Vancouver,British Columbia,BC,Canada,CA,0,2009,Ford_,Step Van,0,1,2015-04-01
102,12,Vancouver,British Columbia,BC,Canada,CA,0,2000,Freightliner,MT45 Utilimaster,0,1,2015-10-01
103,13,Vancouver,British Columbia,BC,Canada,CA,1,2010,Airstream,Trailer,0,79,2015-08-01
105,15,Vancouver,British Columbia,BC,Canada,CA,1,2009,Ford_,Step Van,0,81,2015-02-01
106,1,Montreal,Quebec,QC,Canada,CA,1,2007,Ford_,Step Van,1,81,2018-01-01
107,2,Montreal,Quebec,QC,Canada,CA,1,2012,Custom,Box Truck,1,82,2018-01-01
108,3,Montreal,Quebec,QC,Canada,CA,1,2000,Freightliner,MT45 Utilimaster,1,83,2018-01-01
110,5,Montreal,Quebec,QC,Canada,CA,1,2000,Freightliner,MT45 Utilimaster,0,85,2015-08-01
111,6,Montreal,Quebec,QC,Canada,CA,1,2009,Ford_,Step Van,0,86,2017-06-01
112,7,Montreal,Quebec,QC,Canada,CA,1,1974,Volkswagen,Westfalia Bus,1,87,2023-01-01
114,9,Montreal,Quebec,QC,Canada,CA,1,2007,Custom,Box Truck,1,88,2023-01-01
115,10,Montreal,Quebec,QC,Canada,CA,1,2002,Freightliner,MT45 Utilimaster,0,89,2018-01-01
117,12,Montreal,Quebec,QC,Canada,CA,1,2001,Freightliner,MT45 Utilimaster,0,91,2015-08-01
118,13,Montreal,Quebec,QC,Canada,CA,1,2002,Freightliner,MT45 Utilimaster,1,91,2016-04-01
119,14,Montreal,Quebec,QC,Canada,CA,1,2009,Ford_,Step Van,0,92,2018-01-01
120,15,Montreal,Quebec,QC,Canada,CA,1,2008,Custom,Van,1,93,2019-01-01
121,1,London,Greater London,Greater London,England,GB,1,2014,Ford_,Step Van,1,94,2017-04-01
122,2,London,Greater London,Greater London,England,GB,1,2007,Ford_,Step Van,0,94,2015-10-01
123,3,London,Greater London,Greater London,England,GB,1,2014,Ford_,Step Van,1,94,2018-01-01
124,4,London,Greater London,Greater London,England,GB,1,2001,Freightliner,MT45 Utilimaster,1,95,2022-01-01
